hanzi	pinyin	keyword	radical	strokeCount	hskLevel	generalStandard	frequencyRank
被	bèi		衣 145.5	10	3	2118	154
利	lì	gains, advantage, profit, merit	刀 18.5	7	4	763	155
什	shén	file of ten soldiers; mixed, miscellaneous	人 9.2	4	1	129	156
二	èr	two; twice	二 7.0	2	1	3	157
等	děng		竹 118.6	12	2	2681	158
产	chǎn	give birth, bring forth, produce	立 117.1	6	5	522	159
或	huò	or, either, else; perhaps, maybe	戈 62.4	8	3	1035	160
新	xīn	new, recent, fresh, modern	斤 69.9	13	2	2994	161
己	jǐ	self, oneself; personal, private; 6th heavenly stem	己 49.0	3	3	60	162
制	zhì	system; establish; overpower	刀 18.6	8	5	1121	163
身	shēn	body; trunk, hull; rad. no. 158	身 158.0	7	2	786	164
果	guǒ	fruit; result	木 75.4	8	1	1079	165
加	jiā	add to, increase, augment	力 19.3	5	3	335	166
西	xī	west(ern); westward, occident	襾 146.0	6	1	384	167
斯	sī	this, thus, such; to lop off; emphatic particle	斤 69.8	12	6	2541	168
月	yuè	moon; month; KangXi radical 74	月 74.0	4	1	150	169
话	huà	speech, talk, language; dialect	言 149.6	8	1	1296	170
合	hé	combine, unite, join; gather	口 30.3	6	4	488	171
回	huí	return, turn around; a time	囗 31.3	6	1	438	172
特	tè	special, unique, distinguished	牛 93.6	10	3	1938	173
代	dài	replace, replacement (of person or generation); era, generation	人 9.3	5	5	271	174
内	nèi	inside	入 11.2	4	4	116	175
信	xìn	trust, believe; letter	人 9.7	9	3	1570	176
表	biǎo	show, express, manifest, display	衣 145.3	8	2	951	177
化	huà	change, convert, reform; -ize	匕 21.2	4	3	132	178
老	lǎo	old, aged; experienced	老 125.0	6	1	360	179
给	gěi	give; by, for	糸 120.6	9	2	1758	180
世	shì	generation; world; era	一 1.4	5	3	206	181
位	wèi	throne; position, post; rank, status; seat	人 9.5	7	3	784	182
次	cì	order, sequence; next	欠 76.2	6	2	521	183
度	dù	degree, system; manner; to consider	广 53.6	9	4	1622	184
门	mén	gate, door, entrance, opening	門 169.0	3	2	55	185
任	rèn	trust to, rely on, appoint; to bear, duty, office; allow	人 9.4	6	4	467	186
常	cháng	common, normal, frequent, regular	巾 50.8	11	2	2257	187
先	xiān	first, former, previous	儿 10.4	6	1	446	188
海	hǎi	sea, ocean; maritime	水 85.7	10	4	2074	189
通	tōng	pass through, common, communicate	辵 162.7	10	4	2145	190
教	jiào	teach, class	攴 66.7	11	2	2179	191
儿	ér	son, child; KangXi radical 10	儿 10.0	2	1	12	192
原	yuán	source, origin, beginning	厂 27.8	10	4	1868	193
东	dōng	east, eastern, eastward	一 1.4	5	1	225	194
声	shēng	sound, voice, noise; tone; music	士 33.4	7	3	654	195
提	tí	hold in hand; lift in hand	手 64.9	12	3	2520	196
立	lì	stand; let stand; establish, set	立 117.0	5	5	302	197
及	jí	extend; reach; come up to; and	又 29.2	3	4	52	198
比	bǐ	to compare, liken; comparison; than	比 81.0	4	2	105	199
员	yuán	member; personnel, staff member	口 30.4	7	2	737	200
解	jiě	loosen, unfasten, untie; explain	角 148.6	13	3	2981	201
水	shuǐ	water, liquid, lotion, juice	水 85.0	4	1	117	202
名	míng	name, rank, title, position	口 30.3	6	1	505	203
真	zhēn	real, actual, true, genuine	目 109.5	10	2	1832	204
论	lùn	debate; discuss; discourse	言 149.4	6	4	556	205
处	chù	place, locale; department	夂 34.2	5	4	294	206
走	zǒu	walk, go on foot; run; leave	走 156.0	7	2	625	207
义	yì	right conduct, righteousness	丿 4.2	3	5	57	208
各	gè	each, individually, every, all	口 30.3	6	4	506	209
入	rù	enter, come in(to), join	入 11.0	2	4	11	210
几	jǐ	small table	几 16.0	2	1	14	211
口	kǒu	mouth; open end; entrance, gate	口 30.0	3	3	38	212
认	rèn	recognize, know, understand	言 149.2	4	1	171	213
条	tiáo	clause, condition; string, stripe	木 75.3	7	2	816	214
平	píng	flat, level, even; peaceful	干 51.2	5	3	222	215
系	xì	system; line, link, connection	糸 120.1	7	1	825	216
气	qì	steam, vapor; KangXi radical 84	气 84.0	4	1	122	217
题	tí	forehead; title, headline; theme	頁 181.9	15	2	3233	218
活	huó	live, exist, survive; lively	水 85.6	9	4	1672	219
尔	ěr	you; that, those; final particle	小 42.2	5	4	286	220
更	gèng	more, still further, much more	曰 73.3	7	3	693	221
别	bié	separate, other; do not	刀 18.5	7	2	751	222
打	dǎ	strike, hit, beat; fight; attack	手 64.2	5	1	196	223
女	nǚ	woman, girl; feminine; rad. 38	女 38.0	3	1	67	224
变	biàn	change, transform, alter; rebel	又 29.6	8	3	1204	225
四	sì	four	囗 31.2	5	1	262	226
神	shén	spirit, god, supernatural being	示 113.5	9	5	1711	227
总	zǒng	collect; overall, altogether	八 12.7	9	3	1654	228
何	hé	what, why, where, which, how	人 9.5	7	4	771	229
电	diàn	electricity; electric; lightning	曰 73.1	5	1	242	230
数	shù	number; several, count; fate	攴 66.9	13	3	2999	231
安	ān	peaceful, tranquil, quiet	宀 40.3	6	3	549	232
少	shǎo	few, less, inadequate	小 42.1	4	1	110	233
报	bào	report, tell, announce	手 64.4	7	2	656	234
才	cái	talent, ability; just, only	手 64.0	3	3	29	235
结	jié	knot, tie; join, connect	糸 120.6	9	3	1754	236
反	fǎn	reverse, opposite, contrary, anti	又 29.2	4	4	139	237
受	shòu	receive, accept, get; bear, stand	又 29.6	8	4	1174	238
目	mù	eye; look, see; division, topic	目 109.0	5	3	236	239
太	tài	very, too, much; big; extreme	大 37.1	4	1	93	240
量	liàng	measure, quantity, capacity	里 166.5	12	4	2616	241
再	zài	again, twice, re-	冂 13.4	6	1	382	242
感	gǎn	feel, perceive, emotion	心 61.9	13	3	2875	243
建	jiàn	build, establish, erect, found	廴 54.6	8	4	1302	244
务	wù	affairs, business; must, should	夂 34.2	5	2	297	245
做	zuò	work, make; act	人 9.9	11	1	2324	246
接	jiē	receive; continue; catch; connect	手 64.8	11	3	2185	247
必	bì	surely, most certainly; must	心 61.1	5	3	321	248
场	chǎng	open space, field, market	土 32.3	6	2	367	249
件	jiàn	numerary adjunct for article; matter	人 9.4	6	2	466	250
计	jì	plan, plot; strategem; scheme	言 149.2	4	4	168	251
管	guǎn	pipe, tube, duct; woodwind music	竹 118.8	14	4	3123	252
期	qī	period of time; date; time limit	月 74.8	12	1	2542	253
市	shì	market, fair; city, town; trade	巾 50.2	5	3	301	254
直	zhí	straight, erect, vertical	目 109.3	8	3	1011	255
德	dé	ethics, morality, virtue	彳 60.12	15	5	3272	256
资	zī	property; wealth; capital	貝 154.6	10	4	2039	257
命	mìng	life; destiny, fate, luck; an order, instruction	口 30.5	8	4	1168	258
山	shān	mountain, hill, peak	山 46.0	3	3	39	259
金	jīn	gold; metals in general; money	金 167.0	8	4	1166	260
指	zhǐ	finger, toe; point, indicate	手 64.6	9	4	1389	261
克	kè	gram; overcome; transliteration	儿 10.5	7	4	675	262
许	xǔ	allow, permit; promise; betroth	言 149.4	6	4	554	263
统	tǒng	govern, command, control; unite	糸 120.6	9	5	1765	264
区	qū	area, district, region, ward	匸 23.2	4	4	94	265
保	bǎo	protect, safeguard, defend, care	人 9.7	9	4	1562	266
至	zhì	reach, arrive; extremely, very	至 133.0	6	4	410	267
队	duì	team, group; army unit	阜 170.2	4	4	180	268
形	xíng	form, shape, appearance	彡 59.4	7	5	604	269
社	shè	god of the soil and altars to him; group of families; company, society	示 113.3	7	4	890	270
便	biàn	convenience, ease; expedient	人 9.7	9	2	1556	271
空	kōng	empty, hollow, bare, deserted	穴 116.3	8	3	1282	272
决	jué	decide, determine, judge	冫 15.4	6	3	523	273
治	zhì	govern, regulate, administer	水 85.5	8	5	1264	274
展	zhǎn	open, unfold; stretch, extend	尸 44.7	10	4	2131	275
马	mǎ	horse; surname; KangXi radical 187	馬 187.0	3	3	72	276
科	kē	section, department, science	禾 115.4	9	4	1551	277
司	sī	take charge of, control, manage; officer	口 30.2	5	2	325	278
五	wǔ	five; surname	二 7.2	4	1	88	279
基	jī	foundation, base	土 32.8	11	4	2193	280
眼	yǎn	eye; eyelet, hole, opening	目 109.6	11	2	2263	281
书	shū	book, letter, document; writings	丨 2.3	4	1	188	282
非	fēi	not, negative, non-; oppose	非 175.0	8	2	1064	283
则	zé	rule, law, regulation; grades	刀 18.4	6	4	440	284
听	tīng	hear; understand; obey, comply	口 30.4	7	1	739	285
白	bái	white; pure, unblemished; bright	白 106.0	5	2	275	286
却	què	still, but; decline; retreat	卩 26.5	7	4	658	287
界	jiè	boundary, limit; domain; society; the world	田 102.4	9	3	1496	288
达	dá	arrive at, reach; intelligent; smooth, slippery	辵 162.3	6	5	398	289
光	guāng	light, brilliant, shine; only	儿 10.4	6	4	417	290
放	fàng	put, release, free, liberate	攴 66.4	8	3	1223	291
强	qiáng	strong, powerful, energetic	弓 57.9	12	5	2802	292
即	jí	promptly, quickly, immediately	卩 26.5	7	4	901	293
像	xiàng	a picture, image, figure; to resemble	人 9.12	13	3	2961	294
难	nán	difficult, arduous, hard; unable	又 29.8	10	3	2147	295
且	qiě	moreover, also (post-subject); about to, will soon (pre-verb)	一 1.4	5	3	237	296
权	quán	power, right, authority	木 75.2	6	5	378	297
思	sī	think, consider, ponder; final particle	心 61.5	9	2	1500	298
王	wáng	king, ruler; royal; surname	玉 96.0	4	5	75	299
象	xiàng	elephant; ivory; figure, image	豕 152.5	11	4	2361	300
完	wán	complete, finish, settle; whole	宀 40.4	7	2	877	301
设	shè	build; establish; display	言 149.4	6	5	560	302
式	shì	style, system, formula, rule	弋 56.3	6	4	349	303
色	sè	color, tint, hue, shade; form, body; beauty, desire for beauty	色 139.0	6	2	509	304
路	lù	road, path, street; journey	足 157.6	13	2	2918	305
记	jì	record; keep in mind, remember	言 149.3	5	3	323	306
南	nán	south; southern part; southward	十 24.7	9	3	1422	307
品	pǐn	article, product, commodity	口 30.6	9	5	1503	308
住	zhù	reside, live at, dwell, lodge; stop	人 9.5	7	1	783	309
告	gào	tell, announce, inform; accuse	口 30.4	7	2	760	310
类	lèi	class, group, kind, category	大 37.6	9	5	1646	311
求	qiú	seek; demand, request; beseech	水 85.2	7	3	690	312
据	jù	to occupy, take possession of; a base, position	手 64.8	11	3	2189	313
程	chéng	journey, trip; schedule, agenda	禾 115.7	12	4	2677	314
北	běi	north; northern; northward	匕 21.3	5	1	227	315
边	biān	edge, margin, side, border	辵 162.2	5	2	337	316
死	sǐ	die; dead; death	歹 78.2	6	4	400	317
张	zhāng	stretch, extend, expand; sheet	弓 57.4	7	3	909	318
该	gāi	should, ought to, need to	言 149.6	8	3	1300	319
交	jiāo	mix; intersect; exchange, communicate; deliver	亠 8.4	6	4	519	320
规	guī	rules, regulations, customs, law	見 147.4	8	4	952	321
万	wàn	ten thousand; innumerable	一 1.2	3	3	35	322
取	qǔ	take, receive, obtain; select	又 29.6	8	4	997	323
拉	lā	pull, drag; seize, hold; lengthen	手 64.5	8	4	981	324
格	gé	pattern, standard, form; style	木 75.6	10	4	1845	325
望	wàng	to look at, look forward; to hope, expect	月 74.7	11	2	2394	326
觉	jué	to wake up from sleep; conscious	見 147.5	9	1	1694	327
术	shù	art, skill, special feat; method, technique	木 75.1	5	4	211	328
领	lǐng	neck; collar; lead, guide	頁 181.5	11	5	2354	329
共	gòng	together with, all, total; to share	八 12.4	6	2	371	330
确	què	sure, certain; real, true	石 112.7	12	4	2591	331
传	chuán	summon; propagate, transmit	人 9.4	6	4	455	332
师	shī	teacher, master, specialist	巾 50.3	6	1	413	333
观	guān	see, observe, view; appearance	見 147.2	6	4	586	334
清	qīng	clear, pure, clean; peaceful	水 85.8	11	3	2410	335
今	jīn	now, today, modern era	人 9.2	4	1	144	336
切	qiè	cut, mince, slice, carve	刀 18.2	4	4	107	337
院	yuàn	courtyard, yard, court; school	阜 170.7	9	1	1734	338
让	ràng	allow, permit, yield, concede	言 149.3	5	2	317	339
识	shí	recognize, understand, know	言 149.5	7	1	892	340
候	hòu	wait; expect; visit; greet	人 9.8	10	1	1964	341
带	dài	belt, girdle, band, strap, zone	巾 50.6	9	3	1407	342
导	dǎo	direct, guide, lead, conduct	寸 41.3	6	4	567	343
争	zhēng	dispute, fight, contend, strive	亅 6.5	6	4	508	344
运	yùn	run; simplified form of 運 luck, fortune; ship, transport	辵 162.4	7	2	611	345
笑	xiào	smile, laugh, giggle; snicker	竹 118.4	10	2	1952	346
飞	fēi	fly; go quickly; dart; high	乙 5.2	3	1	69	347
风	fēng	wind; air; manners, atmosphere	風 182.0	4	3	154	348
步	bù	step, pace; walk, stroll	止 77.3	7	2	710	349
改	gǎi	change, alter; improve, remodel	攴 66.3	7	4	908	350
收	shōu	gather together, collect; harvest	攴 66.2	6	4	573	351
根	gēn	root, base(d on); foundation	木 75.6	10	3	1850	352
干	gàn	oppose, offend; invade; dried	干 51.0	3	3	23	353
造	zào	construct, build, make, begin; prepare	辵 162.7	10	5	1940	354
言	yán	words, speech; speak, say	言 149.0	7	4	826	355
联	lián	connect, join; associate, ally	耳 128.6	12	4	2544	356
持	chí	sustain, support; hold, grasp	手 64.6	9	4	1367	357
组	zǔ	class; section, department	糸 120.5	8	5	1338	358
每	měi	every, each	毋 80.3	7	2	767	359
济	jì	help, aid, relieve; ferry, cross	水 85.6	9	4	1678	360
车	chē	cart, vehicle; carry in cart	車 159.0	4	1	100	361
亲	qīn	relatives, parents; intimate the hazel nut or filbert tree a thorny tree	立 117.4	9	4	1631	362
极	jí	extreme, utmost, furthest, final	木 75.3	7	3	687	363
林	lín	forest, grove; surname	木 75.4	8	4	1018	364
服	fú	clothes; wear, dress	月 74.4	8	1	1190	365
快	kuài	rapid, quick, speedy, fast; soon	心 61.4	7	2	876	366
办	bàn	manage, do, handle; deal with	力 19.2	4	3	181	367
议	yì	consult, talk over, discuss	言 149.3	5	3	320	368
往	wǎng	go, depart; past, formerly	彳 60.5	8	2	1160	369
元	yuán	first; dollar; origin; head	儿 10.2	4	3	80	370
英	yīng	petal, flower, leaf; brave, a hero; England, English	艸 140.5	8	5	1006	371
士	shì	scholar, gentleman; soldier	士 33.0	3	4	28	372
证	zhèng	prove, confirm, verify; proof	言 149.5	7	4	885	373
近	jìn	near, close; approach; intimate	辵 162.4	7	2	791	374
失	shī	lose; make mistake, neglect	大 37.2	5	4	265	375
转	zhuǎn	shift, move, turn	車 159.4	8	4	1059	376
夫	fū	man, male adult, husband; those	大 37.1	4	2	79	377
令	lìng		人 9.3	5	5	282	378
准	zhǔn	approve, allow, permit; in accord	冫 15.8	10	2	2024	379
布	bù	cotton cloth, textiles, linen	巾 50.2	5	5	218	380
始	shǐ	begin, start; then, only then	女 38.5	8	2	1329	381
怎	zěn	what? why? how?	心 61.5	9	1	1543	382
呢	ne	interrogative or emphatic final; (Cant.) this	口 30.5	8	1	1102	383
存	cún	exist, live, be; survive; remain	子 39.3	6	4	391	384
未	wèi	not yet; 8th terrestrial branch	木 75.1	5	5	192	385
远	yuǎn	distant, remote, far; profound	辵 162.4	7	2	608	386
叫	jiào	cry, shout; hail, greet, call	口 30.2	5	1	253	387
台	tái	platform; unit; term of address	口 30.2	5	4	342	388
单	dān	single, individual, only; lone	八 12.6	8	3	1232	389
影	yǐng	shadow; image, reflection; photograph	彡 59.12	15	1	3240	390
具	jù	tool, implement; draw up, write	八 12.6	8	4	1077	391
罗	luō	net for catching birds; gauze	网 122.3	8		1108	392
字	zì	letter, character, word	子 39.3	6	1	548	393
爱	ài	love, be fond of, like	爪 87.6	10	1	1987	394
击	jī	strike, hit, beat; attack, fight	凵 17.3	5	5	195	395
流	liú	flow, circulate, drift; class	水 85.6	10	4	2080	396
备	bèi	prepare, ready, perfect	夂 34.5	8	2	1200	397
兵	bīng	soldier, troops	八 12.5	7	5	768	398
连	lián	join, connect; continuous; even	辵 162.4	7	4	708	399
调	diào	transfer, move, change; tune	言 149.8	10	3	2123	400
深	shēn	deep; depth; far; very, extreme	水 85.8	11	4	2432	401
商	shāng	commerce, business, trade	口 30.8	11	1	2391	402
算	suàn	count, calculate, figure; plan	竹 118.8	14	3	3121	403
质	zhì	matter, material, substance	厂 27.4	8	4	1157	404
团	tuán	sphere, ball, circle; mass, lump	囗 31.3	6	5	425	405
集	jí	assemble, collect together	隹 172.4	12	5	2694	406
百	bǎi	one hundred; numerous, many	白 106.1	6	2	389	407
需	xū	need, require, must	雨 173.6	14	3	3095	408
价	jià	price, value	人 9.4	6	4	469	409
花	huā	flower; blossoms	艸 140.4	7	3	665	410
党	dǎng	political party, gang, faction	儿 10.8	10	6	1885	411
华	huá	flowery; illustrious; Chinese	十 24.4	6	5	472	412
城	chéng	castle; city, town; municipality	土 32.7	9	3	1373	413
石	shí	stone, rock, mineral; rad. 112	石 112.0	5	5	216	414
级	jí	level, rank, class; grade	糸 120.3	6	3	594	415
整	zhěng	orderly, neat, tidy; whole	攴 66.11	16	4	3333	416
府	fǔ	prefecture; prefect; government	广 53.5	8	5	1211	417
离	lí	rare beast; strange; elegant	禸 114.6	10	2	2035	418
况	kuàng	condition, situation; furthermore	冫 15.5	7	4	830	419
亚	yà	Asia; second	一 1.5	6	4	373	420
请	qǐng	ask, request; invite; please	言 149.8	10	1	2108	421
技	jì	skill, ability, talent, ingenuity	手 64.4	7	4	615	422
际	jì	border, boundary, juncture	阜 170.5	7	4	911	423
约	yuē	treaty, agreement, covenant	糸 120.3	6	4	593	424
示	shì	show, manifest; demonstrate	示 113.0	5	4	194	425
复	fù	return; repeat; repeatedly	夊 35.6	9	3	1553	426
病	bìng	illness, sickness, disease	疒 104.5	10	2	2027	427
息	xī	rest, put stop to, end, cease	心 61.6	10	2	1973	428
究	jiū	examine, investigate	穴 116.2	7	4	881	429
线	xiàn	line, thread, wire; clue	糸 120.5	8	4	1336	430
似	shì	resemble, similar to; as if, seem	人 9.5	6	5	481	431
官	guān	official, public servant	宀 40.5	8	5	1281	432
火	huǒ	fire, flame; burn; anger, rage	火 86.0	4	2	164	433
断	duàn	sever, cut off; interrupt	斤 69.7	11	4	2405	434
精	jīng	essence; semen; spirit	米 119.8	14	4	3153	435
满	mǎn	fill; full, satisfied	水 85.10	13	3	3005	436
支	zhī	disperse, pay; support; branch	支 65.0	4	4	89	437
视	shì	look at, inspect, observe, see	見 147.4	8	1	1294	438
消	xiāo	vanish, die out; melt away	水 85.7	10	4	2071	439
越	yuè	exceed, go beyond; the more ...	走 156.5	12	3	2514	440
器	qì	receptacle, vessel; instrument	口 30.13	16	5	3348	441
容	róng	looks, appearance; figure, form	宀 40.7	10	3	2105	442
照	zhào	shine, illumine, reflect	火 86.9	13	3	2911	443
须	xū	must, have to, necessary	彡 59.6	9	3	1585	444
九	jiǔ	nine	乙 5.1	2	1	15	445
增	zēng	increase, add to, augment	土 32.12	15	4	3204	446
研	yán	grind, rub; study, research	石 112.6	9	4	1446	447
写	xiě	write; draw, sketch; compose	冖 14.3	5	1	316	448
称	chēng	call; name, brand; address; say	禾 115.5	10	5	1948	449
企	qǐ	plan a project; stand on tiptoe	人 9.4	6	5	490	450
八	bā	eight; all around, all sides	八 12.0	2	1	9	451
功	gōng	achievement, merit, good result	力 19.3	5	4	202	452
吗	ma	final interrogative particle	口 30.3	6	1	432	453
包	bāo	wrap, pack, bundle; package	勹 20.3	5	3	298	454
片	piàn	slice, splinter, strip; rad. 91	片 91.0	4	3	130	455
史	shǐ	history, chronicle, annals	口 30.2	5	3	248	456
委	wěi	appoint, send, commission	女 38.5	8	5	1133	457
乎	hū	interrogative or exclamatory final particle	丿 4.4	5	3	280	458
查	chá	investigate, examine, seek into	木 75.5	9	3	1431	459
轻	qīng	light; easy, simple; gentle	車 159.5	9	3	1463	460
易	yì	change; easy	日 72.4	8	3	1088	461
早	zǎo	early; soon; morning	日 72.2	6	2	419	462
曾	céng	already; sign of past	曰 73.8	12	5	2747	463
除	chú	eliminate, remove, except	阜 170.7	9	3	1732	464
农	nóng	agriculture, farming; farmer	冖 14.4	6	5	558	465
找	zhǎo	search, seek, look for; find	手 64.4	7	2	621	466
装	zhuāng	dress, clothes, attire; fill	衣 145.6	12	5	2726	467
广	guǎng	wide, extensive, broad; rad. 53	广 53.0	3	4	53	468
显	xiǎn	manifest, display; evident, clear	日 72.5	9	5	1485	469
吧	ba	emphatic final particle	口 30.4	7	2	747	470
阿	ā		阜 170.5	7	3	913	471
李	lǐ	plum; judge; surname	木 75.3	7	3	688	472
标	biāo	mark, symbol, label, sign; stand the bole of a tree	木 75.5	9	4	1424	473
谈	tán	talk; conversation; surname	言 149.8	10	4	2127	474
吃	chī	eat; drink; suffer, endure, bear	口 30.3	6	1	429	475
图	tú	diagram; chart, map, picture	囗 31.5	8	3	1119	476
念	niàn	think of, recall, study	心 61.4	8	5	1177	477
六	liù	number six	八 12.2	4	1	160	478
引	yǐn	to pull, draw out, attract; to stretch	弓 57.1	4	4	176	479
历	lì	history; calendar	厂 27.2	4	3	95	480
首	shǒu	head; first; leader, chief; a poem	首 185.0	9	4	1651	481
医	yī	cure, heal; doctor, medical	匸 23.5	7	1	700	482
局	jú	bureau, office; circumstance	尸 44.4	7	4	907	483
突	tū	suddenly, abruptly, unexpectedly	穴 116.4	9	3	1700	484
专	zhuān	monopolize, take sole possession	一 1.3	4	4	83	485
费	fèi	expenses, expenditures, fee	貝 154.5	9	4	1726	486
号	hào	mark, sign; symbol; number	口 30.2	5	1	243	487
尽	jǐn	exhaust, use up; deplete	尸 44.3	6	4	566	488
另	lìng	another, separate, other	口 30.2	5	4	256	489
周	zhōu	Zhou dynasty; circumference	口 30.5	8	3	1192	490
较	jiào	compare; comparatively, more	車 159.6	10	3	1876	491
注	zhù	concentrate, focus, direct	水 85.5	8	3	1252	492
语	yǔ	language, words; saying, expression	言 149.7	9	1	1707	493
仅	jǐn	only, merely, solely, just	人 9.2	4	4	136	494
考	kǎo	examine, test; investigate	老 125.0	6	2	358	495
落	luò	fall, drop; net income, surplus	艸 140.9	12	4	2557	496
青	qīng	blue, green, black; young	青 174.0	8	5	947	497
随	suí	follow, listen to, submit to	阜 170.10	11	4	2476	498
选	xuǎn	choose, select; elect; election	辵 162.6	9	3	1545	499
列	liè	a line; to arrange in order, classify	刀 18.4	6	4	399	500
武	wǔ	military; martial, warlike	止 77.4	8	5	946	501
红	hóng	red, vermillion; blush, flush	糸 120.3	6	2	589	502
响	xiǎng	make sound, make noise; sound	口 30.6	9	3	1509	503
虽	suī	although, even if	虫 142.3	9	2	1502	504
推	tuī	push, expel; push forward	手 64.8	11	4	2174	505
势	shì	power, force; tendency	力 19.6	8	5	977	506
参	cān	take part in, intervene; ginseng	厶 28.6	8	3	1334	507
希	xī	rare; hope, expect, strive for	巾 50.4	7	2	796	508
古	gǔ	old, classic, ancient	口 30.2	5	5	208	509
众	zhòng	multitude, crowd; masses, public	人 9.4	6	4	491	510
构	gòu	frame, building, structure	木 75.4	8	5	1029	511
房	fáng	house, building; room	戶 63.4	8	2	1290	512
半	bàn	half	十 24.3	5	3	307	513
节	jié	knot, node, joint; section	艸 140.2	5	3	209	514
土	tǔ	soil, earth; items made of earth	土 32.0	3	5	27	515
投	tóu	throw, cast, fling, pitch; jump	手 64.4	7	5	643	516
某	mǒu	certain thing or person	木 75.5	9	5	1399	517
案	àn	table, bench; legal case	木 75.6	10	4	2107	518
黑	hēi	black; dark; evil, sinister	黑 203.0	12	2	2655	519
维	wéi	maintain, preserve, safeguard	糸 120.8	11	5	2492	520
革	gé	leather, animal hides; rad. 177	革 177.0	9	5	1403	521
划	huà	to row or paddle boat; to scratch	刀 18.4	6	4	407	522
敌	dí	enemy, foe, rival; resist	舌 135.4	10	5	1942	523
致	zhì	send, deliver, present; cause	至 133.3	10	5	1879	524
陈	chén	exhibit, display; plead; a surname	阜 170.5	7	6	914	525
律	lǜ	statute, principle, regulation	彳 60.6	9	4	1583	526
足	zú	foot; attain, satisfy, enough	足 157.0	7	2	731	527
态	tài	manner, bearing, attitude	心 61.4	8	4	1052	528
护	hù	protect, guard, defend, shelter	手 64.4	7	3	649	529
七	qī	seven	一 1.1	2	1	7	530
兴	xìng	thrive, prosper, flourish	八 12.4	6	1	544	531
派	pài	school of thought, sect, branch	水 85.6	9	5	1673	532
孩	hái	baby, child; children	子 39.6	9	2	1730	533
验	yàn	test, examine, inspect; verify	馬 187.7	10	4	2152	534
责	zé		貝 154.4	8	4	948	535
营	yíng	encampment, barracks; manage	艸 140.8	11	5	2214	536
星	xīng	a star, planet; any point of light	日 72.5	9	1	1488	537
够	gòu	enough, adequate	夕 36.8	11	4	2362	538
章	zhāng	composition; chapter, section	立 117.6	11	4	2389	539
音	yīn	sound, tone, pitch, pronunciation	音 180.0	9	3	1632	540
跟	gēn	heel; to follow, accompany; with	足 157.6	13	3	2920	541
志	zhì	purpose, will, determination; annals	心 61.3	7	4	651	542
底	dǐ	bottom, underneath, underside	广 53.5	8	4	1212	543
站	zhàn	stand up; a stand, station	立 117.5	10	2	2041	544
严	yán	strict, rigorous, rigid; stern	一 1.6	7	4	671	545
巴	bā	greatly desire, anxiously hope	己 49.1	4	5	178	546
例	lì	precedent, example; regulation	人 9.6	8	4	1140	547
防	fáng	defend; prevent; embankment	阜 170.4	6	5	576	548
族	zú	a family clan, ethnic group, tribe	方 70.7	11	4	2392	549
供	gōng	supply, provide for; offer in worship	人 9.6	8	4	1138	550
效	xiào	result, effect; effectiveness	攴 66.6	10	4	2034	551
续	xù	continue, carry on; succeed	糸 120.8	11	4	2488	552
施	shī	grant, bestow; give; act; name	方 70.5	9	5	1634	553
留	liú	stop, halt; stay, detain, keep	田 102.5	10	3	2009	554
讲	jiǎng	explain; discuss; talk	言 149.4	6	3	550	555
型	xíng	pattern, model, type; law; mold	土 32.6	9	5	1363	556
料	liào	consider, conjecture; materials, ingredients	斗 68.6	10	3	2054	557
终	zhōng	end; finally, in the end	糸 120.5	8	3	1344	558
答	dá	answer, reply; return; assent to	竹 118.6	12	3	2687	559
紧	jǐn	tense, tight, taut; firm, secure	糸 120.4	10	4	1884	560
黄	huáng	yellow; surname	黃 201.0	11	3	2201	561
绝	jué	to cut, sever, break off, terminate	糸 120.6	9	4	1762	562
奇	qí	strange, unusual, uncanny, occult	大 37.5	8	3	1050	563
察	chá	examine, investigate; notice	宀 40.11	14	4	3174	564
母	mǔ	mother; female elders; female	毋 80.1	5	4	345	565
京	jīng	capital city	亠 8.6	8	1	1205	566
段	duàn	section, piece, division	殳 79.5	9	3	1555	567
依	yī	rely on, be set in; consent, obey a wish	人 9.6	8	5	1153	568
批	pī	comment, criticize; wholesale	手 64.4	7	4	622	569
群	qún	(same as 羣) group, crowd, multitude, mob	羊 123.7	13	5	3035	570
项	xiàng	neck, nape of neck; sum; funds	頁 181.3	9	5	1370	571
故	gù	ancient, old; reason, because	攴 66.5	9	3	1418	572
按	àn	put hand on, press down with hand	手 64.6	9	4	1395	573
河	hé	river; stream; yellow river	水 85.5	8	3	1244	574
米	mǐ	hulled or husked uncooked rice	米 119.0	6	1	533	575
围	wéi	surround, encircle, corral	囗 31.4	7	4	728	576
江	jiāng	large river; yangzi; surname	水 85.3	6	4	538	577
织	zhī	weave, knit; organize, unite	糸 120.5	8	5	1342	578
害	hài	injure, harm; destroy, kill	宀 40.7	10	3	2097	579
斗	dòu	Chinese peck; liquid measure	斗 68.0	4	5	166	580
双	shuāng	set of two, pair, couple; both	又 29.2	4	3	187	581
境	jìng	boundary, frontier; area, region	土 32.11	14	3	3061	582
客	kè	guest, traveller; customer	宀 40.6	9	1	1703	583
纪	jì	record, annal, historical account	糸 120.3	6	4	595	584
采	cǎi	collect, gather; pick, pluck	釆 165.1	8	5	1172	585
举	jǔ	raise, lift up; recommend	丶 3.8	9	4	1693	586
杀	shā	kill, slaughter, murder; hurt	木 75.2	6	5	487	587
